,id,song,artist,genre,tonality,capo,chords
0,835,With Or Without You,U2,Rock,D,0,"D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,D,D,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G"
1,1345,Youre Still The One,Shania Twain,Country,Eb,1,"D,D,G,A,D,G,A,D,G,A,D,G,A,D,G,A,D,G,A,D,G,Em,A,D,G,A,D,G,Em,A,D,G,A,D,G,A,D,G,A,D,G,A,D,G,A,D,G,A,D,G,Em,A,D,G,A,D,G,Em,A,D,G,A,D,G,A,D,G,Em,A,D,G,A,D,G,Em,A,D,G,A,D,G,A"
2,1433,Drops Of Jupiter,Train,Pop/Rock,C,0,"C,G,F,F,C,G,F,C,G,F,C,G,F,G,D,F,C,G,D,Dm,F,C,G,F,F,C,G,F,C,G,F,C,G,F,G,D,F,C,G,D,Dm,F,C,G,F,F,C,G,F,C,G,Bb,F,G,D,F,C,G,D,F,C,G,D,Dm,F,C,G,F,C,G,F,C,G,Bb,F"
3,2704,Kiss Me,Sixpence None the Richer,,Eb,3,"C,Cmaj7,C7,Dm,G,Am,Gsus4,Fmaj7,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,F,Dm,G,C,Am,Dm,G,C,C7,Dm,G,C,Am,Fmaj7,Gsus4,G,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,F,Dm,G,C,Am,Dm,G,C,C7,Dm,G,C,Am,Fmaj7,Gsus4,G,C,Cmaj7,C7,Cmaj7,Dm,G,C,Am,Dm,G,C,C7,Dm,G,C,Am,Dm,G,C,C7,Dm,G,C,Am,Fmaj7,Gsus4,G,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,Cmaj7,C"
4,2707,Kiss Me,Sixpence None the Richer,,D,1,"D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,G,Em,A,D,Bm,Em,A,D,D7,Em,A,D,D/C#,Bm7,Gmaj7,Asus4,A,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,G,Em,A,D,Bm,Em,A,D,D7,Em,A,D,D/C#,Bm7,Gmaj7,Asus4,A,D,Dmaj7,D7,Dmaj7,Em,A,D,Bm,Em,A,D,D7,Em,A,D,Bm,Em,A,D,D7,Em,A,D,D/C#,Bm7,Gmaj7,Asus4,A,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D"
5,3391,Grow Old With You,Adam Sandler,Rock,A,0,"A,Bm,C#m,D,A,E,D,A,E,A,Bm,C#m,D,A,E,D,A,A7,D,A,D,E,E,D,A,Bm,C#m,D,A,E,D,A,E,D,A"
6,4017,Wild Horses,The Rolling Stones,Rock,C,0,"G,Am7,G,Am7,G,Bm,G,Bm,G,Am7,C,D,G,D,C,Bm,G,Bm,G,Am7,C,D,G,D,Am7,C,D,G,F,C,Bm,Am7,C,D,G,F,C,Bm,G,Bm,G,Am7,C,D,G,D,C,Bm,G,Bm,G,Am7,C,D,G,D,Am7,C,D,G,F,C,Bm,Am7,C,D,G,F,C,C,C,D,G,Bm,G,Bm,G,Am7,C,D,G,D,C,Bm,G,Bm,G,Am7,C,D,G,D,Am7,C,D,G,F,C,Bm,Am7,C,D,G,F,C,Bm,G,Bm,G,Am7,C,D,G,D,Am7,C,D,G,F,C,Bm,Am7,C,D,G,F,C"
7,4019,You Cant Always Get What You Want,The Rolling Stones,Rock,G,0,"G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,A,C,G,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,A,C,G,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,A,C,G,G,Gadd9,G,C,D,C,D,C,C,G,Gadd9,G,C,G,Gadd9,G,G,Gadd9,G,D,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,A,C,G,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,A,C,G,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,A,C,G,G,Gadd9,G,C"
8,4149,Fake Plastic Trees,Radiohead,Rock,A,0,"A,F#m7,E,E6,D5,A,D5,A,F#m7,E,E6,D5,A,D5,Bm7,A,Asus,Bm7,A,Asus,A,F#m7,E,E6,D5,A,D5,A,F#m7,E,E6,D5,A,D5,Bm7,A,Asus,Bm7,A,Asus,A,F#m7,E,E6,D5,A,D5,A,F#m7,E,E6,D5,A,D5,Bm7,A,Asus,Bm7,A,Asus,Bm7,A,Bm7,A,Bm7,Asus,A,Bm7,Asus,A"
9,4169,Creep,Radiohead,Rock,G,0,"G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G"
